time,x,y,distance,habitat,neighbors,cash
477.5359839024149,528.0911600133381,6.505315119372725,72.9400212674363,438.80716976474434,2.0,181428.27487537547
962.1922524645447,930.726847457185,64.60531785804169,16.463960712803786,84.40616452107022,6.0,162497.25312294957
932.4580101161166,84.49652378366949,19.52063806695513,509.8746872092255,310.71134818221543,9.0,181850.26587464858
821.8853387046692,912.9150142060388,50.70560753716372,86.47563406359302,39.61976609294741,2.0,167122.02133825916
875.7002745883988,178.98486288856333,7.010992668079666,682.0017648472208,445.53543938351027,5.0,202493.07930814842
722.1175528176293,611.0970950473716,158.51959105830926,294.1213915434098,662.6979289610769,1.55,151991.9560177736
778.4618314616184,797.5114892328126,45.250188876075306,229.68008901653255,146.29536835222098,2.0,156097.44932363933
514.1093936442245,55.25754810227019,6.039843754104811,350.81622970094736,369.5211504451729,6.0,185945.61108925304
621.4813053671843,584.3164792218236,2.0109160932794903,888.9912096661085,948.7305533916417,2.0,197907.01022449415
882.0481348243127,139.82252697447385,80.39519660097177,206.2875123935063,831.4828056823833,4.61,157991.97882753308
651.2264655162594,390.6818071349997,6.691349035348521,136.67763702687486,13.946264555564849,8.0,181638.63094177702
646.376996513048,647.0410923439667,2.746549851151735,308.8606592574756,440.45547255578464,2.0,197541.37637441524
846.977003148849,758.1812876379626,16.905842483508064,249.8511158925959,661.6789071288716,1.0,165277.47845517442
678.3369975825485,693.6441014100124,15.808962572291817,660.4372096143908,801.4978199304594,7.0,172749.14516249645
860.5425401826315,203.8866406844496,11.502949619143008,790.9927252057531,219.75773193360038,4.0,177729.25054393767
817.10915036884,57.37316269961219,109.28472283156457,453.01220775888777,146.53910381120906,8.52,155866.46962703098
572.8393548174428,125.59284686478182,24.45552973599857,115.21067846297397,193.5347584212311,1.0,156599.13918847285
929.7358559032369,401.2134704507605,70.92987886330737,959.4557146164141,206.23273729829597,1.97,161751.1159539975
822.0632528610244,540.9463973038246,7.6998490933698305,564.7774203552302,637.6650695580231,7.18,187761.04482370676
827.4401696397127,338.9928932998373,30.56169029319799,484.6988761329342,549.0025226903597,2.38,182613.88890959663
835.9891950034358,141.92836085792374,10.046270451388319,316.5501981476471,508.33050521962514,4.38,177807.76487722853
997.6194247308161,917.3893342266289,1.0117516430757538,760.7357158078391,154.5217345823698,8.0,186702.43178012402
958.52600591361,403.9311542511277,3.336974093889466,613.3726696661832,878.3078544249449,8.0,185519.13806746172
701.2198293441924,954.0260710832382,29.92291011536464,46.41613881272123,187.0061578662968,4.0,166189.23176013283
642.0086437014162,339.3042589731784,21.320481353637714,987.774826460455,956.118615557159,4.0,168083.10223966258
722.5751341787887,142.8507632368614,19.222846078556344,241.24638905666868,378.49174389438195,6.0,178307.83619371668
299.62023987800427,806.9843675893222,1.553527228044726,846.3584140112888,916.8209216419053,4.0,190276.98326787466
931.3814605563249,832.1946346925599,11.278884456728164,241.41439422692204,245.55913745857927,3.0,183163.2142379516
417.13445776623684,877.9067986550513,25.60267094114152,39.24673185764643,720.0956294459742,8.03,162224.057757808
777.8849825193157,304.1389386062338,45.51263384234896,525.5946839955461,518.2060302105322,6.44,170136.08390015323
944.066494204818,370.710630191339,17.118836738094995,186.56563886355576,977.075335159248,7.0,184956.50031640768
923.6039504581969,586.8301637738674,53.68201385811517,318.3215978719069,596.2693224244182,1.27,159016.83631191464
742.0609785287588,631.5290099641658,2.850521652027928,546.2298316508625,547.8758884535414,4.0,178826.9833962667
544.0146286220428,373.5094108727201,9.19890324690846,491.2316523994092,216.17888827447936,2.0,171702.91031947604
834.8219547911276,917.7914477757798,20.05995059625056,810.6833241938554,587.7292579493331,2.18,155163.80953194338
783.9657703137428,654.7588069745153,73.48727672771676,303.1944530790706,90.28946161880629,6.36,155333.16331549315
878.2513542890322,534.907092559094,95.0723206325752,27.872563603035484,401.3792129273352,6.0,155805.78290420352
643.7477686106575,255.52292793413994,5.347917090084994,771.6144031854154,564.9030197632326,4.0,183440.79406964453
853.3946239789234,117.3730803877243,9.221485892699002,184.92324282709558,637.7496432857571,5.0,195325.11884191952
398.0444994163239,965.0512225537689,273.59435799668057,324.18349033792106,637.1686557860738,1.0,130179.89244279022
942.8139179666045,100.62043301387511,9.798839359766271,481.27085147973406,129.56928492688837,6.0,186355.04182429152
889.5015257088141,518.8896204915198,48.782989883888156,72.18547182175756,737.7708539844693,2.0,167186.54305035115
929.3426454813765,276.6613235523483,52.82966745545875,722.6951903734413,371.34598698735556,4.24,158993.805149234
756.277658656256,663.9687837845141,139.37702804333273,807.2021411075413,749.4137377974139,2.6,147980.18715224217
807.8909617906343,704.4337417782248,23.073132794415063,799.777015890292,688.7577974947775,1.0,169671.06408842042
815.6382490427947,471.7062996853629,89.72833969266954,607.4300148505357,839.2235566507776,1.22,150445.82498303498
775.8884369246757,16.524004276800742,2.4493263098207496,788.3142633505934,437.55300882084777,1.0,180988.68157253962
536.7777511210206,674.9372125667049,8.80535192584671,725.6300740413878,903.5907551043333,3.0,185861.00465378715
929.6405614173086,682.3724218054458,69.85191627655612,55.851489639452154,507.75959196480585,6.64,158348.0792137753
931.1644704329135,699.0496714180128,5.829441892363682,564.9218662695355,684.5460517913939,2.49,189933.5476350113
474.67867353618186,30.33564605449089,3.232188328072708,660.6138515163344,573.8171405289614,1.0,182547.3742769354
937.005432332187,19.44924335535205,40.42903402657806,370.28015362969666,270.7713499963104,2.0,155837.44622000112
771.0457959151998,337.9844261882401,23.2428281599635,574.0306724620066,470.0601933947263,5.2,179476.14331748092
781.4378499074285,601.6168614452296,235.15748882684682,340.9475262397189,648.5140077930091,1.0,124752.19529781221
745.2440207349589,170.59496053218888,13.01287228306789,419.83478488638286,971.3497226916371,4.0,182885.34123429845
351.80526465258527,822.3498745875781,130.5033710630897,237.65073282607577,910.020015627287,1.32,140699.33176543683
767.631195672724,699.4606636828638,61.22175937354823,40.403129988641936,333.73534120317316,4.9,154198.49913654904
885.2585583857447,321.16097518189696,20.10210969919723,412.10979190374144,194.83793359141458,2.0,170560.82335588717
954.4133865625382,241.9587542622585,33.05657215310462,422.9499155766032,337.5685809210052,9.0,171616.77125639055
989.1391974622094,679.8804369823351,16.456539614400807,24.678939475833932,189.06153099494475,6.0,192144.32723199538
494.5877880913147,234.92251419988168,15.424689482831086,444.70254638432266,481.3580270956331,5.55,173962.84198213488
676.0983168200695,188.71525350358968,3.4857011571724374,504.3301883974945,570.4148875306417,5.0,199710.39090101488
311.17640113184376,149.95839598138988,3.442316011742607,867.075674339073,504.3508668926238,6.75,189821.50782101377
838.7401795734636,33.452377567939,7.588731554113869,755.2537264925782,222.2656929045978,4.0,195333.81515443936
987.1716643565003,137.39576521473228,7.972508801552665,363.0360111807142,925.4210354518251,1.0,182338.26649715914
927.1412988467786,82.09150751107065,63.43116468922494,181.02288767469764,214.20765995924359,4.28,170243.92703680455
682.6612821322296,607.5425346467243,28.14962006089104,153.03036791924447,259.327214239031,5.64,163000.45119282388
959.0139960581447,713.363441143791,6.199948959391126,756.8394999285504,594.8601391927606,4.0,186242.20497426548
945.2331033098517,490.7825230356674,90.28314237587782,179.08931039560935,833.3523259760229,1.84,156743.7555410498
674.5670914837132,29.67790947165518,14.55418972087685,812.9112122615466,792.5070982860296,3.44,184093.89620769882
635.793090119724,158.42023193686725,10.201242639390628,312.03713891771855,602.593348644485,7.8,195568.03811302496
721.0860223719858,42.72096906237757,4.873719931467076,207.94934047318736,417.58871631409136,1.0,186812.33317592274
507.15386860504407,380.68490421582896,111.5458296409697,186.26909197164366,308.9676246472742,3.45,152702.62495591794
805.8132409858939,561.1355461027052,3.1460518488570193,286.04484558957944,977.3596692358503,6.0,178027.65799484155
664.5049160425389,742.7222702848517,4.095662972960112,38.15646565624696,323.10341015099107,2.0,192379.75909785653
728.8886361893301,388.4665448592398,28.75788654480949,367.97342246673827,737.4832682714316,6.0,159248.01420799957
563.1880072428775,153.64901632281314,4.852775185143972,834.82093177824,255.9348760026626,2.0,177220.38041825304
978.8651498854415,93.69414001399431,38.213732728604214,328.40711055760016,681.8535118415895,2.0,174000.40737383044
674.9240548086134,192.0512949489307,43.19954822878005,377.35539655685335,284.54124891967876,2.45,163936.17659808992
733.6410199607433,292.9809848019804,51.664212827997,365.36377260380937,700.5131948989546,3.56,152238.8248901011
520.1341365326052,108.72763579310723,39.498691133743584,352.1326385373297,538.7958402959136,3.19,169555.2174801471
717.6347035603322,450.2981080671502,17.071083999512307,91.30052720533713,203.25544906428672,5.83,189210.36887197016
463.31099881664676,633.6935973861226,39.15427563537476,388.9434011449405,138.84095030726695,2.49,161867.97459725727
776.0538235878698,617.1672087322064,268.83672479866755,165.76387145896396,786.9376958908709,3.08,135853.01984869395
503.13605793218807,496.82855017029004,28.661115887707375,326.30733625668955,297.2562034537325,4.12,161553.51074486805
858.247919431189,82.80583859096986,3.6770051378670714,875.5029361691309,758.9457467887983,2.0,194740.04923969155
802.7892610070033,681.4045126776542,67.68164012764925,509.98238458035297,279.51206311452194,1.0,150267.29940343826
582.8064584378003,460.71035718905006,8.301994246809498,266.96332432167145,955.1595839585402,4.0,189260.60574590287
478.22345975250886,369.3210292147433,19.63147482102956,498.80629264738224,331.1563699801829,3.48,175398.88670563637
580.8526648741839,759.8069597109309,133.99643876121718,622.5371733486256,367.2306575734416,1.0,134937.6013944594
923.4039134722748,521.413202925032,60.291720554990185,817.3943641577918,493.4568435792999,1.6,170243.03833152325
602.8398147768758,527.2320317847011,268.55443363127483,272.94966804798065,497.2267809353298,2.34,146409.5336965901
759.5073560138845,379.3622984749534,21.542520174993975,15.021060520084042,144.92509330836,9.0,184011.22641503534
429.84310486999965,79.48317245444944,2.6187784069284397,542.9869775825641,611.1350223333361,2.0,184831.46611322716
344.19384356939634,48.6752083431965,6.911804364556783,214.89482830081164,510.5012024603565,3.0,181896.75424064454
792.6945656551409,38.32914544690585,26.87181107195784,156.6821760626535,883.0977483639449,2.0,166039.1369046608
915.8996068716749,689.2630972069677,197.70836662635972,750.3857215406358,232.32314425308945,4.45,153431.5610908293
652.9838445997761,432.9819830403478,45.08201189641685,315.6274059320589,173.96178396776386,1.42,152233.30982306175
887.9426143290034,800.9015854105036,68.21866503974132,339.1569652142058,492.8133633667446,5.24,162642.63775409473