lon,lat,value
-178.5,-49.5,0.002280342625454068
-176.5,-49.5,0.002337391022592783
-174.5,-49.5,0.002413660753518343
-172.5,-49.5,0.0024720418732613325
-170.5,-49.5,0.002476215362548828
-168.5,-49.5,0.00241828802973032
-166.5,-49.5,0.0023417025804519653
-164.5,-49.5,0.00225924258120358
-162.5,-49.5,0.002164899604395032
-160.5,-49.5,0.0020317495800554752
-158.5,-49.5,0.001873873407021165
-156.5,-49.5,0.001728973351418972
-154.5,-49.5,0.0016143341781571507
-152.5,-49.5,0.0015336490469053388
-150.5,-49.5,0.0014748908579349518
-148.5,-49.5,0.0014247748767957091
-146.5,-49.5,0.0013703594449907541
-144.5,-49.5,0.0013068591943010688
-142.5,-49.5,0.0012366092996671796
-140.5,-49.5,0.0011674477718770504
-138.5,-49.5,0.0010988633148372173
-136.5,-49.5,0.001032098545692861
-134.5,-49.5,9.697282803244889e-4
-132.5,-49.5,9.125524666160345e-4
-130.5,-49.5,8.591199875809252e-4
-128.5,-49.5,8.088366012088954e-4
-126.5,-49.5,7.625923026353121e-4
-124.5,-49.5,7.198782404884696e-4
-122.5,-49.5,6.793824140913785e-4
-120.5,-49.5,6.413576193153858e-4
-118.5,-49.5,6.048810901120305e-4
-116.5,-49.5,5.700102774426341e-4
-114.5,-49.5,5.369785940274596e-4
-112.5,-49.5,5.0589838065207e-4
-110.5,-49.5,4.765441990457475e-4
-108.5,-49.5,4.490081628318876e-4
-106.5,-49.5,4.234871012158692e-4
-104.5,-49.5,4.001677443739027e-4
-102.5,-49.5,3.7902727490291e-4
-100.5,-49.5,3.599124902393669e-4
-98.5,-49.5,3.427659976296127e-4
-96.5,-49.5,3.2757429289631546e-4
-94.5,-49.5,3.1410562223754823e-4
-92.5,-49.5,3.0190887628123164e-4
-90.5,-49.5,2.9061021632514894e-4
-88.5,-49.5,2.7997701545245945e-4
-86.5,-49.5,2.697763266041875e-4
-84.5,-49.5,2.595281112007797e-4
-82.5,-49.5,0.00024900614516809583
-80.5,-49.5,2.404996193945408e-4
-78.5,-49.5,2.4074585235211998e-4
-76.5,-49.5,2.5798685965128243e-4
-178.5,-47.5,0.0033815777860581875
-176.5,-47.5,0.003923885524272919
-174.5,-47.5,0.004749946296215057
-172.5,-47.5,0.005332816392183304
-170.5,-47.5,0.005491720978170633
-168.5,-47.5,0.005362844560295343
-166.5,-47.5,0.005215360317379236
-164.5,-47.5,0.0050578550435602665
-162.5,-47.5,0.004841741640120745
-160.5,-47.5,0.004332490731030703
-158.5,-47.5,0.0036483476869761944
-156.5,-47.5,0.0031092024873942137
-154.5,-47.5,0.0027463408187031746
-152.5,-47.5,0.002507028402760625
-150.5,-47.5,0.002320928731933236
-148.5,-47.5,0.002154233865439892
-146.5,-47.5,0.001993064535781741
-144.5,-47.5,0.001834003604017198
-142.5,-47.5,0.001692241639830172
-140.5,-47.5,0.0015690360451117158
-138.5,-47.5,0.0014522168785333633
-136.5,-47.5,0.0013392394175752997
-134.5,-47.5,0.0012367721647024155
-132.5,-47.5,0.0011478905798867345
-130.5,-47.5,0.0010697180405259132
-128.5,-47.5,9.99482930637896e-4
-126.5,-47.5,9.381680283695459e-4
-124.5,-47.5,8.824837859719992e-4
-122.5,-47.5,8.296690648421645e-4
-120.5,-47.5,7.786564528942108e-4
-118.5,-47.5,7.297794218175113e-4
-116.5,-47.5,6.846659816801548e-4
-114.5,-47.5,6.43292791210115e-4
-112.5,-47.5,6.051126983948052e-4
-110.5,-47.5,5.697862361557782e-4
-108.5,-47.5,5.364716635085642e-4
-106.5,-47.5,5.062135169282556e-4
-104.5,-47.5,4.7878705663606524e-4
-102.5,-47.5,4.5356363989412785e-4
-100.5,-47.5,4.306372720748186e-4
-98.5,-47.5,4.1070932638831437e-4
-96.5,-47.5,3.938445297535509e-4
-94.5,-47.5,3.7882247124798596e-4
-92.5,-47.5,3.648668935056776e-4
-90.5,-47.5,3.5175526863895357e-4
-88.5,-47.5,3.399164997972548e-4
-86.5,-47.5,3.2929363078437746e-4
-84.5,-47.5,3.1845035846345127e-4
-82.5,-47.5,3.0639246688224375e-4
-80.5,-47.5,2.983426384162158e-4
-78.5,-47.5,3.1529797706753016e-4
-76.5,-47.5,3.832029760815203e-4
-178.5,-45.5,0.008955622091889381
-176.5,-45.5,0.010850435122847557
-174.5,-45.5,0.012956248596310616
-172.5,-45.5,0.015064680948853493
-170.5,-45.5,0.016084935516119003
-168.5,-45.5,0.016474571079015732
-166.5,-45.5,0.016219142824411392
-164.5,-45.5,0.015396528877317905
-162.5,-45.5,0.014313030987977982
-160.5,-45.5,0.012190936133265495
-158.5,-45.5,0.00944213755428791
-156.5,-45.5,0.007268940098583698
-154.5,-45.5,0.005890212021768093
-152.5,-45.5,0.004971110261976719
-150.5,-45.5,0.004266323521733284
-148.5,-45.5,0.003697009291499853
-146.5,-45.5,0.003242486622184515
-144.5,-45.5,0.0028667179867625237
-142.5,-45.5,0.002565742237493396
-140.5,-45.5,0.002326221438124776
-138.5,-45.5,0.002115311101078987
-136.5,-45.5,0.0019200342940166593
-134.5,-45.5,0.0017407811246812344
-132.5,-45.5,0.0015828865580260754
-130.5,-45.5,0.0014521165285259485
-128.5,-45.5,0.0013445635559037328
-126.5,-45.5,0.0012543007032945752
-124.5,-45.5,0.0011706309160217643
-122.5,-45.5,0.0010875262087211013
-120.5,-45.5,0.0010066368849948049
-118.5,-45.5,9.318968513980508e-4
-116.5,-45.5,8.679739548824728e-4
-114.5,-45.5,8.13313527032733e-4
-112.5,-45.5,7.643531425856054e-4
-110.5,-45.5,7.193071069195867e-4
-108.5,-45.5,6.7802460398525e-4
-106.5,-45.5,6.423281156457961e-4
-104.5,-45.5,6.098303128965199e-4
-102.5,-45.5,5.79003943130374e-4
-100.5,-45.5,5.520778940990567e-4
-98.5,-45.5,5.312018911354244e-4
-96.5,-45.5,5.140306311659515e-4
-94.5,-45.5,4.958486533723772e-4
-92.5,-45.5,4.7802081098780036e-4
-90.5,-45.5,4.6229036524891853e-4
-88.5,-45.5,4.5106609468348324e-4
-86.5,-45.5,4.431066336110234e-4
-84.5,-45.5,4.339947772677988e-4
-82.5,-45.5,4.2102334555238485e-4
-80.5,-45.5,4.156771465204656e-4
-78.5,-45.5,4.774749686475843e-4
-76.5,-45.5,5.940166884101927e-4
-178.5,-43.5,0.013294992968440056
-176.5,-43.5,0.014174669049680233
-174.5,-43.5,0.01627526991069317
-172.5,-43.5,0.01903367228806019
-170.5,-43.5,0.022557195276021957
-168.5,-43.5,0.024058517068624496
-166.5,-43.5,0.02382776141166687
-164.5,-43.5,0.02266060560941696
-162.5,-43.5,0.020916370674967766
-160.5,-43.5,0.018952826038002968
-158.5,-43.5,0.01642346754670143
-156.5,-43.5,0.01330555509775877
-154.5,-43.5,0.01068502850830555
-152.5,-43.5,0.00875841360539198
-150.5,-43.5,0.007330288644880056
-148.5,-43.5,0.006245726253837347
-146.5,-43.5,0.005397565197199583
-144.5,-43.5,0.004687877371907234
-142.5,-43.5,0.0041299788281321526
-140.5,-43.5,0.0037320910487324
-138.5,-43.5,0.0034130546264350414
-136.5,-43.5,0.0031058788299560547
-134.5,-43.5,0.0027997877914458513
-132.5,-43.5,0.0025155157782137394
-130.5,-43.5,0.0022853906266391277
-128.5,-43.5,0.002111695008352399
-126.5,-43.5,0.001973358914256096
-124.5,-43.5,0.0018364894203841686
-122.5,-43.5,0.0016915270825847983
-120.5,-43.5,0.0015455364482477307
-118.5,-43.5,0.001409029122442007
-116.5,-43.5,0.001297459937632084
-114.5,-43.5,0.0012074144324287772
-112.5,-43.5,0.0011335976887494326
-110.5,-43.5,0.0010675227968022227
-108.5,-43.5,0.0010080129140987992
-106.5,-43.5,9.569592075422406e-4
-104.5,-43.5,9.147741366177797e-4
-102.5,-43.5,8.771847351454198e-4
-100.5,-43.5,8.475256618112326e-4
-98.5,-43.5,8.281968184746802e-4
-96.5,-43.5,8.055133512243629e-4
-94.5,-43.5,7.709436467848718e-4
-92.5,-43.5,7.453488651663065e-4
-90.5,-43.5,7.25134217645973e-4
-88.5,-43.5,7.214474608190358e-4
-86.5,-43.5,7.251901552081108e-4
-84.5,-43.5,7.194294594228268e-4
-82.5,-43.5,6.99027325026691e-4
-80.5,-43.5,6.882129819132388e-4
-78.5,-43.5,8.315884624607861e-4
-76.5,-43.5,8.957493701018393e-4
-178.5,-41.5,0.012863337993621826
-176.5,-41.5,0.013913453556597233
-174.5,-41.5,0.0171737652271986
-172.5,-41.5,0.022595876827836037
-170.5,-41.5,0.027469366788864136
-168.5,-41.5,0.028658196330070496
-166.5,-41.5,0.02603575587272644
-164.5,-41.5,0.023059437051415443
-162.5,-41.5,0.02020135521888733
-160.5,-41.5,0.017830202355980873
-158.5,-41.5,0.015808720141649246
-156.5,-41.5,0.01348169706761837
-154.5,-41.5,0.011419739574193954
-152.5,-41.5,0.010043853893876076
-150.5,-41.5,0.009064532816410065
-148.5,-41.5,0.008329315111041069
-146.5,-41.5,0.007682217285037041
-144.5,-41.5,0.007038644980639219
-142.5,-41.5,0.006405085325241089
-140.5,-41.5,0.00589683186262846
-138.5,-41.5,0.0055071087554097176
-136.5,-41.5,0.005130324978381395
-134.5,-41.5,0.004732123576104641
-132.5,-41.5,0.004367277957499027
-130.5,-41.5,0.0040677571669220924
-128.5,-41.5,0.003814284922555089
-126.5,-41.5,0.003616903442889452
-124.5,-41.5,0.0033993676770478487
-122.5,-41.5,0.00315729808062315
-120.5,-41.5,0.002909198170527816
-118.5,-41.5,0.0026538665406405926
-116.5,-41.5,0.002435509115457535
-114.5,-41.5,0.002256495412439108
-112.5,-41.5,0.002115568844601512
-110.5,-41.5,0.001995562110096216
-108.5,-41.5,0.0018830220215022564
-106.5,-41.5,0.001785354339517653
-104.5,-41.5,0.001706560142338276
-102.5,-41.5,0.0016380010638386011
-100.5,-41.5,0.0016007457161322236
-98.5,-41.5,0.0015851336065679789
-96.5,-41.5,0.0015176101587712765
-94.5,-41.5,0.0014485918218269944
-92.5,-41.5,0.0014053020859137177
-90.5,-41.5,0.0013804188929498196
-88.5,-41.5,0.0013963094679638743
-86.5,-41.5,0.0014162807492539287
-84.5,-41.5,0.00139426882378757
-82.5,-41.5,0.001321974559687078
-80.5,-41.5,0.0013246918097138405
-78.5,-41.5,0.0016399725573137403
-76.5,-41.5,0.0012151609407737851
-74.5,-41.5,0.0012662226799875498
-178.5,-39.5,0.017159737646579742
-176.5,-39.5,0.017297426238656044
-174.5,-39.5,0.0210142582654953
-172.5,-39.5,0.0282705407589674
-170.5,-39.5,0.031896740198135376
-168.5,-39.5,0.029086939990520477
-166.5,-39.5,0.024546751752495766
-164.5,-39.5,0.021074268966913223
-162.5,-39.5,0.018241925165057182
-160.5,-39.5,0.016054490581154823
-158.5,-39.5,0.014469722285866737
-156.5,-39.5,0.013056488707661629
-154.5,-39.5,0.011638402007520199
-152.5,-39.5,0.01055531483143568
-150.5,-39.5,0.009759051725268364
-148.5,-39.5,0.009128325618803501
-146.5,-39.5,0.00854499265551567
-144.5,-39.5,0.008003120310604572
-142.5,-39.5,0.0074941921047866344
-140.5,-39.5,0.00707832258194685
-138.5,-39.5,0.006713681388646364
-136.5,-39.5,0.0063773333095014095
-134.5,-39.5,0.006070990581065416
-132.5,-39.5,0.005795039236545563
-130.5,-39.5,0.005548039451241493
-128.5,-39.5,0.005238744895905256
-126.5,-39.5,0.004954912234097719
-124.5,-39.5,0.0047250771895051
-122.5,-39.5,0.004516532178968191
-120.5,-39.5,0.004285717383027077
-118.5,-39.5,0.004022629465907812
-116.5,-39.5,0.0037789056077599525
-114.5,-39.5,0.0035526598803699017
-112.5,-39.5,0.0033701416105031967
-110.5,-39.5,0.0032016821205615997
-108.5,-39.5,0.003026207210496068
-106.5,-39.5,0.0028652269393205643
-104.5,-39.5,0.0027158688753843307
-102.5,-39.5,0.002579551888629794
-100.5,-39.5,0.002473055385053158
-98.5,-39.5,0.00239787925966084
-96.5,-39.5,0.0022920528426766396
-94.5,-39.5,0.002217694418504834
-92.5,-39.5,0.0021549034863710403
-90.5,-39.5,0.002095757517963648
-88.5,-39.5,0.0020684993360191584
-86.5,-39.5,0.0020331963896751404
-84.5,-39.5,0.001986207440495491
-82.5,-39.5,0.0019813335966318846
-80.5,-39.5,0.0020204621832817793
-78.5,-39.5,0.0019435747526586056
-76.5,-39.5,0.001858312520198524
-74.5,-39.5,0.001512623275630176
-178.5,-37.5,0.020188314840197563
-176.5,-37.5,0.02241285890340805
-174.5,-37.5,0.030109696090221405
-172.5,-37.5,0.035280294716358185
-170.5,-37.5,0.03145142272114754
-168.5,-37.5,0.026307007297873497
-166.5,-37.5,0.022201279178261757
-164.5,-37.5,0.019026555120944977
-162.5,-37.5,0.01649588532745838
-160.5,-37.5,0.014650064520537853
-158.5,-37.5,0.013304739259183407
-156.5,-37.5,0.012234847992658615
-154.5,-37.5,0.01149282418191433
-152.5,-37.5,0.010904575698077679
-150.5,-37.5,0.010380718857049942
-148.5,-37.5,0.00990940909832716
-146.5,-37.5,0.009360700845718384
-144.5,-37.5,0.00888688676059246
-142.5,-37.5,0.008465536870062351
-140.5,-37.5,0.008103222586214542
-138.5,-37.5,0.007737802341580391
-136.5,-37.5,0.007379965391010046
-134.5,-37.5,0.007046636193990707
-132.5,-37.5,0.006726516410708427
-130.5,-37.5,0.0063951388001441956
-128.5,-37.5,0.006020150147378445
-126.5,-37.5,0.00566398911178112
-124.5,-37.5,0.005375837907195091
-122.5,-37.5,0.005125843919813633
-120.5,-37.5,0.0048747314140200615
-118.5,-37.5,0.004614556673914194
-116.5,-37.5,0.00435117119923234
-114.5,-37.5,0.0041092075407505035
-112.5,-37.5,0.003900323063135147
-110.5,-37.5,0.003701042151078582
-108.5,-37.5,0.003487118985503912
-106.5,-37.5,0.003272856818512082
-104.5,-37.5,0.0030836090445518494
-102.5,-37.5,0.002919177059084177
-100.5,-37.5,0.002769838087260723
-98.5,-37.5,0.0026437602937221527
-96.5,-37.5,0.0025322246365249157
-94.5,-37.5,0.0024425252340734005
-92.5,-37.5,0.0023672878742218018
-90.5,-37.5,0.002309773350134492
-88.5,-37.5,0.0022738869301974773
-86.5,-37.5,0.002255555707961321
-84.5,-37.5,0.0022383579052984715
-82.5,-37.5,0.0022422117181122303
-80.5,-37.5,0.0022906160447746515
-78.5,-37.5,0.002347380854189396
-76.5,-37.5,0.002596092876046896
-74.5,-37.5,0.00295421970076859
-178.5,-35.5,0.026983406394720078
-176.5,-35.5,0.03531395643949509
-174.5,-35.5,0.04156952723860741
-172.5,-35.5,0.03536030650138855
-170.5,-35.5,0.028093766421079636
-168.5,-35.5,0.02338859811425209
-166.5,-35.5,0.020313067361712456
-164.5,-35.5,0.017937174066901207
-162.5,-35.5,0.016064900904893875
-160.5,-35.5,0.014723475091159344
-158.5,-35.5,0.013745917938649654
-156.5,-35.5,0.012945913709700108
-154.5,-35.5,0.012374074198305607
-152.5,-35.5,0.011859195306897163
-150.5,-35.5,0.011314316652715206
-148.5,-35.5,0.010762914083898067
-146.5,-35.5,0.01020791381597519
-144.5,-35.5,0.009690121747553349
-142.5,-35.5,0.009202447719871998
-140.5,-35.5,0.008760250173509121
-138.5,-35.5,0.008347359485924244
-136.5,-35.5,0.00794784165918827
-134.5,-35.5,0.007540932856500149
-132.5,-35.5,0.007136167958378792
-130.5,-35.5,0.006755280774086714
-128.5,-35.5,0.006379404105246067
-126.5,-35.5,0.006027905270457268
-124.5,-35.5,0.005694468505680561
-122.5,-35.5,0.0053557720966637135
-120.5,-35.5,0.005042731296271086
-118.5,-35.5,0.00477259885519743
-116.5,-35.5,0.004505206365138292
-114.5,-35.5,0.004249291494488716
-112.5,-35.5,0.004018151666969061
-110.5,-35.5,0.0037892605178058147
-108.5,-35.5,0.0035640436690300703
-106.5,-35.5,0.003352341940626502
-104.5,-35.5,0.0031629709992557764
-102.5,-35.5,0.00299750454723835
-100.5,-35.5,0.002839303109794855
-98.5,-35.5,0.0026922645047307014
-96.5,-35.5,0.002558173146098852
-94.5,-35.5,0.0024378402158617973
-92.5,-35.5,0.0023351439740508795
-90.5,-35.5,0.002255232073366642
-88.5,-35.5,0.0021949626971036196
-86.5,-35.5,0.002169520128518343
-84.5,-35.5,0.0021738209761679173
-82.5,-35.5,0.0022855105344206095
-80.5,-35.5,0.002450603526085615
-78.5,-35.5,0.002728054765611887
-76.5,-35.5,0.003411285113543272
-74.5,-35.5,0.0026255976408720016
-72.5,-35.5,0.0026555487420409918
-178.5,-33.5,0.04569977521896362
-176.5,-33.5,0.04591705650091171
-174.5,-33.5,0.03818948566913605
-172.5,-33.5,0.031041018664836884
-170.5,-33.5,0.025554601103067398
-168.5,-33.5,0.021944494917988777
-166.5,-33.5,0.019397400319576263
-164.5,-33.5,0.017482029274106026
-162.5,-33.5,0.016028529033064842
-160.5,-33.5,0.015015946701169014
-158.5,-33.5,0.01415291242301464
-156.5,-33.5,0.013326996006071568
-154.5,-33.5,0.012642588466405869
-152.5,-33.5,0.012008974328637123
-150.5,-33.5,0.011403695680201054
-148.5,-33.5,0.01084134541451931
-146.5,-33.5,0.010331233963370323
-144.5,-33.5,0.009846938773989677
-142.5,-33.5,0.009367956779897213
-140.5,-33.5,0.008916511200368404
-138.5,-33.5,0.008503613993525505
-136.5,-33.5,0.00809787679463625
-134.5,-33.5,0.007618040312081575
-132.5,-33.5,0.007128770928829908
-130.5,-33.5,0.006694179493933916
-128.5,-33.5,0.006256455555558205
-126.5,-33.5,0.005805919412523508
-124.5,-33.5,0.005347793456166983
-122.5,-33.5,0.0049486649222671986
-120.5,-33.5,0.004667526576668024
-118.5,-33.5,0.004415495786815882
-116.5,-33.5,0.004148033447563648
-114.5,-33.5,0.0038857527542859316
-112.5,-33.5,0.00364358420483768
-110.5,-33.5,0.0034335351083427668
-108.5,-33.5,0.0032333272974938154
-106.5,-33.5,0.003041014540940523
-104.5,-33.5,0.002868128474801779
-102.5,-33.5,0.0027150956448167562
-100.5,-33.5,0.0025800513103604317
-98.5,-33.5,0.002460696967318654
-96.5,-33.5,0.0023632363881915808
-94.5,-33.5,0.0022975204046815634
-92.5,-33.5,0.0022553240414708853
-90.5,-33.5,0.0022229603491723537
-88.5,-33.5,0.0022153635509312153
-86.5,-33.5,0.002230588812381029
-84.5,-33.5,0.002259443746879697
-82.5,-33.5,0.0023032932076603174
-80.5,-33.5,0.002446164144203067
-78.5,-33.5,0.002756176283583045
-76.5,-33.5,0.0032805546652525663
-74.5,-33.5,0.003418383654206991
-72.5,-33.5,0.0028791758231818676
-178.5,-31.5,0.047991786152124405
-176.5,-31.5,0.0396241657435894
-174.5,-31.5,0.0320320762693882
-172.5,-31.5,0.026130247861146927
-170.5,-31.5,0.022652648389339447
-168.5,-31.5,0.020385470241308212
-166.5,-31.5,0.018665513023734093
-164.5,-31.5,0.017264707013964653
-162.5,-31.5,0.01620461419224739
-160.5,-31.5,0.015448016114532948
-158.5,-31.5,0.014720148406922817
-156.5,-31.5,0.013948061503469944
-154.5,-31.5,0.013240587897598743
-152.5,-31.5,0.012534563429653645
-150.5,-31.5,0.011866130866110325
-148.5,-31.5,0.011244206689298153
-146.5,-31.5,0.010683937929570675
-144.5,-31.5,0.010160084813833237
-142.5,-31.5,0.009636377915740013
-140.5,-31.5,0.009119577705860138
-138.5,-31.5,0.008640643209218979
-136.5,-31.5,0.008176603354513645
-134.5,-31.5,0.007669657003134489
-132.5,-31.5,0.007138249464333057
-130.5,-31.5,0.006628348026424646
-128.5,-31.5,0.006135566160082817
-126.5,-31.5,0.005670492071658373
-124.5,-31.5,0.005252663977444172
-122.5,-31.5,0.004905780777335167
-120.5,-31.5,0.004621256608515978
-118.5,-31.5,0.00434122746810317
-116.5,-31.5,0.004059089347720146
-114.5,-31.5,0.003803854575380683
-112.5,-31.5,0.0035723696928471327
-110.5,-31.5,0.003360423492267728
-108.5,-31.5,0.0031592047307640314
-106.5,-31.5,0.0029656076803803444
-104.5,-31.5,0.0027956762351095676
-102.5,-31.5,0.0026531547773629427
-100.5,-31.5,0.002531451405957341
-98.5,-31.5,0.0024372872430831194
-96.5,-31.5,0.002371611073613167
-94.5,-31.5,0.0023387407418340445
-92.5,-31.5,0.0023191722575575113
-90.5,-31.5,0.0023083635605871677
-88.5,-31.5,0.002306906972080469
-86.5,-31.5,0.0023257287684828043
-84.5,-31.5,0.002349761314690113
-82.5,-31.5,0.002424973528832197
-80.5,-31.5,0.0026055851485580206
-78.5,-31.5,0.002965646330267191
-76.5,-31.5,0.003639675211161375
-74.5,-31.5,0.004296679049730301
-72.5,-31.5,0.005506488494575024
-178.5,-29.5,0.03642449527978897
-176.5,-29.5,0.03180458024144173
-174.5,-29.5,0.026704229414463043
-172.5,-29.5,0.023420769721269608
-170.5,-29.5,0.021426822990179062
-168.5,-29.5,0.019842732697725296
-166.5,-29.5,0.018621990457177162
-164.5,-29.5,0.017564285546541214
-162.5,-29.5,0.016764579340815544
-160.5,-29.5,0.016088290140032768
-158.5,-29.5,0.015409836545586586
-156.5,-29.5,0.014698981307446957
-154.5,-29.5,0.013932403177022934
-152.5,-29.5,0.013190851546823978
-150.5,-29.5,0.01253328938037157
-148.5,-29.5,0.011923955753445625
-146.5,-29.5,0.011357552371919155
-144.5,-29.5,0.010787601582705975
-142.5,-29.5,0.010197216644883156
-140.5,-29.5,0.009596250019967556
-138.5,-29.5,0.009023234248161316
-136.5,-29.5,0.008490457199513912
-134.5,-29.5,0.007940945215523243
-132.5,-29.5,0.007333626039326191
-130.5,-29.5,0.0067793382331728935
-128.5,-29.5,0.006287058349698782
-126.5,-29.5,0.005850912071764469
-124.5,-29.5,0.005475803278386593
-122.5,-29.5,0.005139200948178768
-120.5,-29.5,0.0048272693529725075
-118.5,-29.5,0.004507584031671286
-116.5,-29.5,0.004205823875963688
-114.5,-29.5,0.003943235147744417
-112.5,-29.5,0.0037061176262795925
-110.5,-29.5,0.003488407703116536
-108.5,-29.5,0.003284105332568288
-106.5,-29.5,0.003093104576691985
-104.5,-29.5,0.002923227148130536
-102.5,-29.5,0.002775896107777953
-100.5,-29.5,0.0026579871773719788
-98.5,-29.5,0.0025724645238369703
-96.5,-29.5,0.0025072647258639336
-94.5,-29.5,0.002480947645381093
-92.5,-29.5,0.0024684532545506954
-90.5,-29.5,0.0024500018917024136
-88.5,-29.5,0.0024663840886205435
