step,stepOrder,process,species,biomassBefore,biomassAfter
0,DAWN,MEMORIZE_FOR_RESET,Bigeye tuna,3.37224E8,3.37224E8
0,DAWN,MEMORIZE_FOR_RESET,Skipjack tuna,3.567168999999996E9,3.567168999999996E9
0,DAWN,MEMORIZE_FOR_RESET,Yellowfin tuna,5.072950000000005E8,5.072950000000005E8
0,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,5.072949999999991E8,5.072949999999991E8
0,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,3.567168999999994E9,3.567168999999994E9
0,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,3.372239999999999E8,3.372239999999999E8
363,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,3.37224E8,3.37224E8
363,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,5.072950000000005E8,3.508360000002638E8
363,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,3.567168999999996E9,3.567168999999996E9
364,BIOLOGY_PHASE,GROW,Skipjack tuna,3.567168999999994E9,4.607359291939922E9
364,BIOLOGY_PHASE,GROW,Yellowfin tuna,3.5083600000026405E8,6.086499890844485E8
364,BIOLOGY_PHASE,GROW,Bigeye tuna,3.372239999999999E8,4.05694821969616E8
364,DATA_RESET,RESET,Bigeye tuna,4.056948219696167E8,3.37224E8
364,DATA_RESET,RESET,Skipjack tuna,4.6073592919399185E9,3.567168999999996E9
364,DATA_RESET,RESET,Yellowfin tuna,6.086499890844488E8,5.072950000000005E8
364,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,5.072949999999991E8,5.072949999999991E8
364,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,3.567168999999994E9,3.567168999999994E9
364,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,3.372239999999999E8,3.372239999999999E8
728,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,3.37224E8,3.37224E8
728,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,5.072950000000005E8,3.508360000015593E8
728,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,3.567168999999996E9,3.567168999999996E9
729,BIOLOGY_PHASE,GROW,Bigeye tuna,3.372239999999999E8,4.0569482196961606E8
729,BIOLOGY_PHASE,GROW,Skipjack tuna,3.567168999999994E9,4.607359291939917E9
729,BIOLOGY_PHASE,GROW,Yellowfin tuna,3.508360000015599E8,6.086499890857443E8
729,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,6.086499890857443E8,6.086499890857443E8
729,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,4.607359291939917E9,4.607359291939917E9
729,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,4.0569482196961606E8,4.0569482196961606E8
1093,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,4.056948219696165E8,4.056948219696165E8
1093,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,6.086499890857447E8,4.521909890882059E8
1093,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,4.607359291939916E9,4.607359291939916E9
1094,BIOLOGY_PHASE,GROW,Bigeye tuna,4.0569482196961606E8,4.829579716814679E8
1094,BIOLOGY_PHASE,GROW,Yellowfin tuna,4.521909890882066E8,7.164356204499055E8
1094,BIOLOGY_PHASE,GROW,Skipjack tuna,4.607359291939917E9,4.775999999999991E9
1094,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,7.164356204499055E8,7.164356204499055E8
1094,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,4.775999999999991E9,4.775999999999991E9
1094,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,4.829579716814679E8,4.829579716814679E8
1458,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,4.82957971681469E8,4.82957971681469E8
1458,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,7.164356204499052E8,5.59976620449768E8
1458,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,4.775999999999994E9,4.775999999999994E9
1459,BIOLOGY_PHASE,GROW,Bigeye tuna,4.829579716814679E8,5.680710755271951E8
1459,BIOLOGY_PHASE,GROW,Yellowfin tuna,5.599766204497702E8,8.145872410414951E8
1459,BIOLOGY_PHASE,GROW,Skipjack tuna,4.775999999999991E9,4.775999999999991E9
1459,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,8.145872410414951E8,8.145872410414951E8
1459,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,4.775999999999991E9,4.775999999999991E9
1459,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,5.680710755271951E8,5.680710755271951E8
1823,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,5.680710755271955E8,5.680710755271955E8
1823,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,8.145872410414953E8,6.58128241043502E8
1823,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,4.775999999999994E9,4.775999999999994E9
1824,BIOLOGY_PHASE,GROW,Skipjack tuna,4.775999999999991E9,4.775999999999991E9
1824,BIOLOGY_PHASE,GROW,Bigeye tuna,5.680710755271951E8,6.592892626292791E8
1824,BIOLOGY_PHASE,GROW,Yellowfin tuna,6.581282410435029E8,8.891953972511914E8
1824,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,8.891953972511914E8,8.891953972511914E8
1824,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,4.775999999999991E9,4.775999999999991E9
1824,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,6.592892626292791E8,6.592892626292791E8
